,API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
198,tf.data.experimental.make_csv_dataset,file_pattern,List of files or patterns of file paths containing CSV records. See `tf.io.gfile.glob` for pattern rules.,D_STRUCTURE of files or patterns of file paths containing CSV records,,,D_STRUCTURE,,,,
199,tf.data.experimental.make_csv_dataset,file_pattern,List of files or patterns of file paths containing CSV records. See `tf.io.gfile.glob` for pattern rules.,See tf io gfile glob for pattern rules,,,,,,,
200,tf.keras.preprocessing.image.random_shift,fill_mode,"Points outside the boundaries of the input     are filled according to the given mode     (one of `{'constant', 'nearest', 'reflect', 'wrap'}`).",Points outside the boundaries of the input are filled according to the given mode one of QSTR,,,,,,,QSTR
201,tf.keras.layers.LocallyConnected1D,filters,"Integer, the dimensionality of the output space (i.e. the number of output filters in the convolution).",D_TYPE the dimensionality of the output space i e,D_TYPE,,,,,,
202,tf.keras.layers.LocallyConnected1D,filters,"Integer, the dimensionality of the output space (i.e. the number of output filters in the convolution).",the number of output filters in the convolution,int,,,,0,"[0,inf)",
203,tf.nn.conv2d,filters,"A `Tensor`. Must have the same type as `input`. A 4-D tensor of shape`[filter_height, filter_width, in_channels, out_channels]`",A CONSTANT_NUM D D_STRUCTURE of shape BSTR,,D_STRUCTURE,,BSTR,CONSTANT_NUM,,
204,tf.nn.conv2d,filters,"A `Tensor`. Must have the same type as `input`. A 4-D tensor of shape`[filter_height, filter_width, in_channels, out_channels]`",A D_STRUCTURE,,D_STRUCTURE,,,,,
205,tf.nn.conv2d,filters,"A `Tensor`. Must have the same type as `input`. A 4-D tensor of shape`[filter_height, filter_width, in_channels, out_channels]`",Must have the same type as PARAM,&PARAM,,,,,,
206,tf.nn.convolution,filters,Alias of filter.,Alias of filter,,,,,,,
207,tf.signal.inverse_stft_window_fn,frame_step,An integer scalar `Tensor`. The number of samples to step.,An D_TYPE scalar D_STRUCTURE,D_TYPE,D_STRUCTURE,,,0,,
208,tf.signal.inverse_stft_window_fn,frame_step,An integer scalar `Tensor`. The number of samples to step.,The number of samples to step,int,,,,0,"[0,inf)",
209,tf.py_function,func,"A Python function which accepts a list of `Tensor` objects having element types that match the corresponding `tf.Tensor` objects in `inp`and returns a list of `Tensor` objects (or a single `Tensor`, or `None`) having element types that match the corresponding values in `Tout`.",A Python function which accepts a D_STRUCTURE of D_STRUCTURE objects having element types that match the corresponding D_STRUCTURE objects in PARAMand returns a D_STRUCTURE of D_STRUCTURE objects or a single D_STRUCTURE or QSTR having element types that match the corresponding values in PARAM,,,,,,,
210,tf.keras.layers.BatchNormalization,gamma_constraint,Optional constraint for the gamma weight.,Optional constraint for the gamma weight,,,,,,,
211,tf.keras.layers.GRU,go_backwards,"Boolean (default `False`). If True, process the input sequence backwards and return the reversed sequence.",D_TYPE default CONSTANT_BOOL,D_TYPE,,,,0,,
212,tf.keras.layers.GRU,go_backwards,"Boolean (default `False`). If True, process the input sequence backwards and return the reversed sequence.",If CONSTANT_BOOL process the input D_STRUCTURE backwards and return the reversed D_STRUCTURE,bool,,,,0,,
213,tf.keras.layers.RNN,go_backwards,"Boolean (default `False`). If True, process the input sequence backwards and return the reversed sequence.",D_TYPE default CONSTANT_BOOL,D_TYPE,,,,0,,
214,tf.keras.layers.RNN,go_backwards,"Boolean (default `False`). If True, process the input sequence backwards and return the reversed sequence.",If CONSTANT_BOOL process the input D_STRUCTURE backwards and return the reversed D_STRUCTURE,bool,,,,0,,
215,tf.keras.experimental.terminate_keras_multiprocessing_pools,grace_period,Time (in seconds) to wait for process cleanup to propagate.,Time BSTR to wait for process cleanup to propagate,,,,,,,
216,tf.edit_distance,hypothesis,A `SparseTensor` containing hypothesis sequences.,A D_STRUCTURE containing hypothesis sequences,,D_STRUCTURE,,,,,
217,tf.image.crop_to_bounding_box,image,"4-D Tensor of shape `[batch, height, width, channels]` or 3-D Tensor of shape `[height, width, channels]`.",CONSTANT_NUM D D_STRUCTURE of shape BSTR or CONSTANT_NUM D D_STRUCTURE of shape BSTR,,D_STRUCTURE,,BSTR,CONSTANT_NUM,,
218,tf.image.transpose,image,"4-D Tensor of shape `[batch, height, width, channels]` or 3-D Tensor of shape `[height, width, channels]`.",CONSTANT_NUM D D_STRUCTURE of shape BSTR or CONSTANT_NUM D D_STRUCTURE of shape BSTR,,D_STRUCTURE,,BSTR,CONSTANT_NUM,,
219,tf.image.resize,images,"4-D Tensor of shape `[batch, height, width, channels]` or 3-D Tensor of shape `[height, width, channels]`.",CONSTANT_NUM D D_STRUCTURE of shape BSTR or CONSTANT_NUM D D_STRUCTURE of shape BSTR,,D_STRUCTURE,,BSTR,CONSTANT_NUM,,
220,tf.image.ssim,img1,First image batch.,First image batch,numeric,,,,,,
221,tf.keras.layers.LocallyConnected2D,implementation,"implementation mode, either `1`, `2`, or `3`.`1` loops over input spatial locations to perform the forward pass. It is memory-efficient but performs a lot of (small) ops.`2` stores layer weights in a dense but sparsely-populated 2D matrix and implements the forward pass as a single matrix-multiply. It uses a lot of RAM but performs few (large) ops.`3` stores layer weights in a sparse tensor and implements the forward pass as a single sparse matrix-multiply.How to choose:`1`: large, dense models,`2`: small models,`3`: large, sparse models,where ""large"" stands for large input/output activations (i.e. many `filters`, `input_filters`, large `np.prod(input_size)`,`np.prod(output_size)`), and ""sparse"" stands for few connections between inputs and outputs, i.e. small ratio `filters * input_filters * np.prod(kernel_size) / (np.prod(input_size) np.prod(strides))`, where inputs to and outputs of the layer are assumed to have shapes`input_size + (input_filters,)`,`output_size + (filters,)` respectively. ",It is memory efficient but performs a lot of BSTR ops CONSTANT_NUM stores layer weights in a dense but sparsely populated CONSTANT_NUM D matrix and implements the forward pass as a single matrix multiply,,,,,,,
222,tf.keras.layers.LocallyConnected2D,implementation,"implementation mode, either `1`, `2`, or `3`.`1` loops over input spatial locations to perform the forward pass. It is memory-efficient but performs a lot of (small) ops.`2` stores layer weights in a dense but sparsely-populated 2D matrix and implements the forward pass as a single matrix-multiply. It uses a lot of RAM but performs few (large) ops.`3` stores layer weights in a sparse tensor and implements the forward pass as a single sparse matrix-multiply.How to choose:`1`: large, dense models,`2`: small models,`3`: large, sparse models,where ""large"" stands for large input/output activations (i.e. many `filters`, `input_filters`, large `np.prod(input_size)`,`np.prod(output_size)`), and ""sparse"" stands for few connections between inputs and outputs, i.e. small ratio `filters * input_filters * np.prod(kernel_size) / (np.prod(input_size) np.prod(strides))`, where inputs to and outputs of the layer are assumed to have shapes`input_size + (input_filters,)`,`output_size + (filters,)` respectively. ",It uses a lot of RAM but performs few BSTR ops CONSTANT_NUM stores layer weights in a sparse D_STRUCTURE and implements the forward pass as a single sparse matrix multiply How to choose CONSTANT_NUM large dense models CONSTANT_NUM small models CONSTANT_NUM large sparse models where QSTR stands for large input output activations i e,,,,,,,
223,tf.keras.layers.LocallyConnected2D,implementation,"implementation mode, either `1`, `2`, or `3`.`1` loops over input spatial locations to perform the forward pass. It is memory-efficient but performs a lot of (small) ops.`2` stores layer weights in a dense but sparsely-populated 2D matrix and implements the forward pass as a single matrix-multiply. It uses a lot of RAM but performs few (large) ops.`3` stores layer weights in a sparse tensor and implements the forward pass as a single sparse matrix-multiply.How to choose:`1`: large, dense models,`2`: small models,`3`: large, sparse models,where ""large"" stands for large input/output activations (i.e. many `filters`, `input_filters`, large `np.prod(input_size)`,`np.prod(output_size)`), and ""sparse"" stands for few connections between inputs and outputs, i.e. small ratio `filters * input_filters * np.prod(kernel_size) / (np.prod(input_size) np.prod(strides))`, where inputs to and outputs of the layer are assumed to have shapes`input_size + (input_filters,)`,`output_size + (filters,)` respectively. ",many PARAM QSTR large np prod BSTR np prod BSTR and QSTR stands for few connections between inputs and outputs i e,,,,,,,
224,tf.keras.layers.LocallyConnected2D,implementation,"implementation mode, either `1`, `2`, or `3`.`1` loops over input spatial locations to perform the forward pass. It is memory-efficient but performs a lot of (small) ops.`2` stores layer weights in a dense but sparsely-populated 2D matrix and implements the forward pass as a single matrix-multiply. It uses a lot of RAM but performs few (large) ops.`3` stores layer weights in a sparse tensor and implements the forward pass as a single sparse matrix-multiply.How to choose:`1`: large, dense models,`2`: small models,`3`: large, sparse models,where ""large"" stands for large input/output activations (i.e. many `filters`, `input_filters`, large `np.prod(input_size)`,`np.prod(output_size)`), and ""sparse"" stands for few connections between inputs and outputs, i.e. small ratio `filters * input_filters * np.prod(kernel_size) / (np.prod(input_size) np.prod(strides))`, where inputs to and outputs of the layer are assumed to have shapes`input_size + (input_filters,)`,`output_size + (filters,)` respectively. ",small ratio PARAM input_filters np prod BSTR where inputs to and outputs of the layer are assumed to have shapes input_size BSTR output_size BSTR respectively,,,,,,,
225,tf.keras.layers.LocallyConnected2D,implementation,"implementation mode, either `1`, `2`, or `3`.`1` loops over input spatial locations to perform the forward pass. It is memory-efficient but performs a lot of (small) ops.`2` stores layer weights in a dense but sparsely-populated 2D matrix and implements the forward pass as a single matrix-multiply. It uses a lot of RAM but performs few (large) ops.`3` stores layer weights in a sparse tensor and implements the forward pass as a single sparse matrix-multiply.How to choose:`1`: large, dense models,`2`: small models,`3`: large, sparse models,where ""large"" stands for large input/output activations (i.e. many `filters`, `input_filters`, large `np.prod(input_size)`,`np.prod(output_size)`), and ""sparse"" stands for few connections between inputs and outputs, i.e. small ratio `filters * input_filters * np.prod(kernel_size) / (np.prod(input_size) np.prod(strides))`, where inputs to and outputs of the layer are assumed to have shapes`input_size + (input_filters,)`,`output_size + (filters,)` respectively. ",implementation mode either CONSTANT_NUM CONSTANT_NUM loops over input spatial locations to perform the forward pass,,,,,,,CONSTANT_NUM
226,tf.keras.models.save_model,include_optimizer,"If True, save optimizer's state together.",If CONSTANT_BOOL save optimizer state together,bool,,,,0,,
227,tf.scatter_nd,indices,"A `Tensor`. Must be one of the following types: `int32`, `int64`. Index tensor.",A D_STRUCTURE,,D_STRUCTURE,,,,,
228,tf.scatter_nd,indices,"A `Tensor`. Must be one of the following types: `int32`, `int64`. Index tensor.",Index D_STRUCTURE,,D_STRUCTURE,,,,,
229,tf.scatter_nd,indices,"A `Tensor`. Must be one of the following types: `int32`, `int64`. Index tensor.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
230,tf.py_function,inp,A list of `Tensor` objects.,A D_STRUCTURE of D_STRUCTURE objects,,D_STRUCTURE,D_STRUCTURE,,,,
231,tf.linalg.band_part,input,A `Tensor`. Rank `k` tensor.,A D_STRUCTURE,,D_STRUCTURE,,,,,
232,tf.linalg.band_part,input,A `Tensor`. Rank `k` tensor.,Rank QSTR D_STRUCTURE,,D_STRUCTURE,,,QSTR,,
233,tf.linalg.inv,input,"A `Tensor`. Must be one of the following types: `float64`, `float32`, `half`, `complex64`, `complex128`. Shape is `[..., M, M]`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
234,tf.linalg.inv,input,"A `Tensor`. Must be one of the following types: `float64`, `float32`, `half`, `complex64`, `complex128`. Shape is `[..., M, M]`.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
235,tf.linalg.inv,input,"A `Tensor`. Must be one of the following types: `float64`, `float32`, `half`, `complex64`, `complex128`. Shape is `[..., M, M]`.",Shape is BSTR,,,,BSTR,,,
236,tf.linalg.qr,input,"A `Tensor`. Must be one of the following types: `float64`, `float32`, `half`, `complex64`, `complex128`. A tensor of shape `[..., M, N]` whose inner-most 2 dimensions form matrices of size `[M, N]`. Let `P` be the minimum of `M` and `N`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
237,tf.linalg.qr,input,"A `Tensor`. Must be one of the following types: `float64`, `float32`, `half`, `complex64`, `complex128`. A tensor of shape `[..., M, N]` whose inner-most 2 dimensions form matrices of size `[M, N]`. Let `P` be the minimum of `M` and `N`.",A D_STRUCTURE of shape BSTR whose inner most CONSTANT_NUM dimensions form matrices of size BSTR,,D_STRUCTURE,,BSTR,,,
238,tf.linalg.qr,input,"A `Tensor`. Must be one of the following types: `float64`, `float32`, `half`, `complex64`, `complex128`. A tensor of shape `[..., M, N]` whose inner-most 2 dimensions form matrices of size `[M, N]`. Let `P` be the minimum of `M` and `N`.",Let QSTR be the minimum of QSTR,,,,,,,
239,tf.linalg.qr,input,"A `Tensor`. Must be one of the following types: `float64`, `float32`, `half`, `complex64`, `complex128`. A tensor of shape `[..., M, N]` whose inner-most 2 dimensions form matrices of size `[M, N]`. Let `P` be the minimum of `M` and `N`.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
240,tf.math.argmax,input,"A `Tensor`. Must be one of the following types: `float32`, `float64`,`int32`, `uint8`, `int16`, `int8`, `complex64`, `int64`, `qint8`,`quint8`, `qint32`, `bfloat16`, `uint16`, `complex128`, `half`, `uint32`,`uint64`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
241,tf.math.argmax,input,"A `Tensor`. Must be one of the following types: `float32`, `float64`,`int32`, `uint8`, `int16`, `int8`, `complex64`, `int64`, `qint8`,`quint8`, `qint32`, `bfloat16`, `uint16`, `complex128`, `half`, `uint32`,`uint64`.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
242,tf.nn.avg_pool1d,input,A 3-D `Tensor` of the format specified by `data_format`.,A CONSTANT_NUM D D_STRUCTURE of the format specified by PARAM,,D_STRUCTURE,,,CONSTANT_NUM,,
243,tf.nn.conv1d,input,"A 3D `Tensor`.  Must be of type `float16`, `float32`, or `float64`.",A CONSTANT_NUM D D_STRUCTURE,,D_STRUCTURE,,,CONSTANT_NUM,,
244,tf.nn.conv1d,input,"A 3D `Tensor`.  Must be of type `float16`, `float32`, or `float64`.",Must be of type D_TYPE,D_TYPE,,,,,,
245,tf.nn.max_pool2d,input,A 4-D `Tensor` of the format specified by `data_format`.,A CONSTANT_NUM D D_STRUCTURE of the format specified by PARAM,,D_STRUCTURE,,,CONSTANT_NUM,,
246,tf.rank,input,A `Tensor` or `SparseTensor`.,A D_STRUCTURE,,D_STRUCTURE,,,,,
247,tf.signal.fft2d,input,"A `Tensor`. Must be one of the following types: `complex64`, `complex128`. A complex tensor.",A D_STRUCTURE,,D_STRUCTURE,,,,,
248,tf.signal.fft2d,input,"A `Tensor`. Must be one of the following types: `complex64`, `complex128`. A complex tensor.",A D_TYPE D_STRUCTURE,D_TYPE,D_STRUCTURE,,,,,
249,tf.signal.fft2d,input,"A `Tensor`. Must be one of the following types: `complex64`, `complex128`. A complex tensor.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
250,tf.strings.lower,input,A `Tensor` of type `string`.,A D_STRUCTURE of type D_TYPE,D_TYPE,D_STRUCTURE,,,,,
251,tf.strings.to_number,input,A `Tensor` of type `string`.,A D_STRUCTURE of type D_TYPE,D_TYPE,D_STRUCTURE,,,,,
252,tf.keras.backend.ctc_batch_cost,input_length,"tensor `(samples, 1)` containing the sequence length for each batch item in `y_pred`.",D_STRUCTURE BSTR containing the D_STRUCTURE length for each batch item in PARAM,,D_STRUCTURE,,,,,
253,tf.quantization.quantized_concat,input_maxes,A list with the same length as `values` of `Tensor` objects with type `float32`. The maximum scalar values for each of the input tensors.,A D_STRUCTURE with the same length as PARAM of D_STRUCTURE objects with type D_TYPE,D_TYPE,,D_STRUCTURE,&PARAM,,,
254,tf.quantization.quantized_concat,input_maxes,A list with the same length as `values` of `Tensor` objects with type `float32`. The maximum scalar values for each of the input tensors.,The maximum scalar PARAM for each of the input D_STRUCTURE,,,,,,,
255,tf.math.reduce_mean,input_tensor,The tensor to reduce. Should have numeric type.,Should have D_TYPE type,D_TYPE,,,,,,
256,tf.math.reduce_mean,input_tensor,The tensor to reduce. Should have numeric type.,The D_STRUCTURE to reduce,,D_STRUCTURE,,,,,
257,tf.math.reduce_sum,input_tensor,The tensor to reduce. Should have numeric type.,Should have D_TYPE type,D_TYPE,,,,,,
258,tf.math.reduce_sum,input_tensor,The tensor to reduce. Should have numeric type.,The D_STRUCTURE to reduce,,D_STRUCTURE,,,,,
259,tf.keras.backend.function,inputs,List of placeholder tensors.,D_STRUCTURE of placeholder D_STRUCTURE,,D_STRUCTURE,D_STRUCTURE,,,,
260,tf.keras.layers.minimum,inputs,A list of input tensors (at least 2).,A D_STRUCTURE of input D_STRUCTURE BSTR,,D_STRUCTURE,D_STRUCTURE,,,,
261,tf.strings.unsorted_segment_join,inputs,A `Tensor` of type `string`. The input to be joined.,A D_STRUCTURE of type D_TYPE,D_TYPE,D_STRUCTURE,,,,,
262,tf.strings.unsorted_segment_join,inputs,A `Tensor` of type `string`. The input to be joined.,The input to be joined,,,,,,,
263,tf.keras.preprocessing.image.apply_channel_shift,intensity,Transformation intensity.,Transformation intensity,,,,,,,
264,tf.keras.preprocessing.image.random_channel_shift,intensity_range,Transformation intensity.,Transformation intensity,,,,,,,
265,tf.keras.layers.UpSampling2D,interpolation,"A string, one of `nearest` or `bilinear`.",A D_TYPE one of QSTR,D_TYPE,,,,0,,QSTR
266,tf.keras.preprocessing.image.load_img,interpolation,"Interpolation method used to resample the image if the     target size is different from that of the loaded image.     Supported methods are ""nearest"", ""bilinear"", and ""bicubic"".     If PIL version 1.1.3 or newer is installed, ""lanczos"" is also     supported. If PIL version 3.4.0 or newer is installed, ""box"" and     ""hamming"" are also supported. By default, ""nearest"" is used.`",By default QSTR is used,,,,,,,
267,tf.keras.preprocessing.image.load_img,interpolation,"Interpolation method used to resample the image if the     target size is different from that of the loaded image.     Supported methods are ""nearest"", ""bilinear"", and ""bicubic"".     If PIL version 1.1.3 or newer is installed, ""lanczos"" is also     supported. If PIL version 3.4.0 or newer is installed, ""box"" and     ""hamming"" are also supported. By default, ""nearest"" is used.`",If PIL version CONSTANT_NUM CONSTANT_NUM or newer is installed QSTR are also supported,,,,,,,
268,tf.keras.preprocessing.image.load_img,interpolation,"Interpolation method used to resample the image if the     target size is different from that of the loaded image.     Supported methods are ""nearest"", ""bilinear"", and ""bicubic"".     If PIL version 1.1.3 or newer is installed, ""lanczos"" is also     supported. If PIL version 3.4.0 or newer is installed, ""box"" and     ""hamming"" are also supported. By default, ""nearest"" is used.`",If PIL version CONSTANT_NUM CONSTANT_NUM or newer is installed QSTR is also supported,,,,,,,
269,tf.keras.preprocessing.image.load_img,interpolation,"Interpolation method used to resample the image if the     target size is different from that of the loaded image.     Supported methods are ""nearest"", ""bilinear"", and ""bicubic"".     If PIL version 1.1.3 or newer is installed, ""lanczos"" is also     supported. If PIL version 3.4.0 or newer is installed, ""box"" and     ""hamming"" are also supported. By default, ""nearest"" is used.`",Supported methods are QSTR,,,,,,,QSTR
270,tf.keras.preprocessing.image.load_img,interpolation,"Interpolation method used to resample the image if the     target size is different from that of the loaded image.     Supported methods are ""nearest"", ""bilinear"", and ""bicubic"".     If PIL version 1.1.3 or newer is installed, ""lanczos"" is also     supported. If PIL version 3.4.0 or newer is installed, ""box"" and     ""hamming"" are also supported. By default, ""nearest"" is used.`",interpolation method used to resample the image if the target size is different from that of the loaded image,,,,,,,
271,tf.keras.preprocessing.image.random_rotation,interpolation_order,"int, order of spline interpolation.     see `ndimage.interpolation.affine_transform``",D_TYPE order of spline interpolation,D_TYPE,,,,,,
272,tf.keras.preprocessing.image.random_rotation,interpolation_order,"int, order of spline interpolation.     see `ndimage.interpolation.affine_transform``",see ndimage interpolation affine_transform,,,,,,,
273,tf.image.adjust_jpeg_quality,jpeg_quality,Python int or Tensor of type int32. jpeg encoding quality.,jpeg encoding quality,,,,,,,
274,tf.image.adjust_jpeg_quality,jpeg_quality,Python int or Tensor of type int32. jpeg encoding quality.,Python D_TYPE or D_STRUCTURE of type D_TYPE,D_TYPE,D_STRUCTURE,,,,,
275,tf.keras.backend.any,keepdims,whether the drop or broadcast the reduction axes.,whether the drop or broadcast the reduction axes,bool,,,,0,,
276,tf.math.count_nonzero,keepdims,"If true, retains reduced dimensions with length 1.",If CONSTANT_BOOL retains reduced dimensions with length CONSTANT_NUM,bool,,,,0,,
277,tf.keras.backend.conv2d_transpose,kernel,kernel tensor.,kernel D_STRUCTURE,,D_STRUCTURE,,,,,
278,tf.keras.layers.Conv3DTranspose,kernel_constraint,Constraint function applied to the kernel matrix.,Constraint function applied to the kernel matrix,,,,,,,
279,tf.keras.layers.GRUCell,kernel_constraint,Constraint function applied to the `kernel` weights matrix. Default: `None`.,Constraint function applied to the QSTR weights matrix,,,,,,,
280,tf.keras.layers.GRUCell,kernel_constraint,Constraint function applied to the `kernel` weights matrix. Default: `None`.,Default QSTR,,,,,,,
281,tf.keras.layers.SimpleRNNCell,kernel_constraint,Constraint function applied to the `kernel` weights matrix. Default: `None`.,Constraint function applied to the QSTR weights matrix,,,,,,,
282,tf.keras.layers.SimpleRNNCell,kernel_constraint,Constraint function applied to the `kernel` weights matrix. Default: `None`.,Default QSTR,,,,,,,
283,tf.keras.layers.ConvLSTM2D,kernel_initializer,"Initializer for the `kernel` weights matrix, used for the linear transformation of the inputs.",Initializer for the QSTR weights matrix used for the linear transformation of the inputs,,,,,,,
284,tf.keras.layers.LocallyConnected2D,kernel_initializer,Initializer for the `kernel` weights matrix.,Initializer for the QSTR weights matrix,,,,,,,
285,tf.keras.layers.Conv1D,kernel_regularizer,Regularizer function applied to the `kernel` weights matrix.,Regularizer function applied to the QSTR weights matrix,,,,,,,
286,tf.keras.layers.Conv3D,kernel_regularizer,Regularizer function applied to the `kernel` weights matrix.,Regularizer function applied to the QSTR weights matrix,,,,,,,
287,tf.keras.layers.Conv3DTranspose,kernel_regularizer,Regularizer function applied to the `kernel` weights matrix.,Regularizer function applied to the QSTR weights matrix,,,,,,,
288,tf.keras.backend.local_conv2d,kernel_size,"a tuple of 2 integers, specifying the width and height of the 2D convolution window.",a D_STRUCTURE of CONSTANT_NUM D_TYPE specifying the width and height of the CONSTANT_NUM D convolution window,D_TYPE,,D_STRUCTURE,[CONSTANT_NUM],,"[0,inf)",
289,tf.keras.layers.Conv2DTranspose,kernel_size,"An integer or tuple/list of 2 integers, specifying the height and width of the 2D convolution window. Can be a single integer to specify the same value for all spatial dimensions.",An D_TYPE or D_STRUCTURE of CONSTANT_NUM D_TYPE specifying the height and width of the CONSTANT_NUM D convolution window,D_TYPE,,D_STRUCTURE,[CONSTANT_NUM],,"[0,inf)",
290,tf.keras.layers.Conv2DTranspose,kernel_size,"An integer or tuple/list of 2 integers, specifying the height and width of the 2D convolution window. Can be a single integer to specify the same value for all spatial dimensions.",Can be a single D_TYPE to specify the same value for all spatial dimensions,D_TYPE,,,,0,,
291,tf.feature_column.sequence_categorical_column_with_identity,key,A unique string identifying the input feature.,A unique D_TYPE identifying the input feature,D_TYPE,,,,0,,
292,tf.nn.avg_pool3d,ksize,"An int or list of `ints` that has length `1`, `3` or `5`. The size of the window for each dimension of the input tensor.",An D_TYPE or D_STRUCTURE of D_TYPE that has length CONSTANT_NUM,D_TYPE,,D_STRUCTURE,[CONSTANT_NUM],0;1,,
293,tf.nn.avg_pool3d,ksize,"An int or list of `ints` that has length `1`, `3` or `5`. The size of the window for each dimension of the input tensor.",The size of the window for each dimension of the PARAM D_STRUCTURE,numeric,,,,,"[0,inf)",
294,tf.keras.regularizers.l1_l2,l2,Float; L2 regularization factor.,D_TYPE l2 regularization factor,D_TYPE,,,,,,
295,tf.estimator.regressor_parse_example_spec,label_dimension,"Number of regression targets per example. This is the size of the last dimension of the labels and logits `Tensor` objects (typically, these have shape `[batch_size, label_dimension]`).",Number of regression targets per example,int,,,,0,"[0,inf)",
296,tf.estimator.regressor_parse_example_spec,label_dimension,"Number of regression targets per example. This is the size of the last dimension of the labels and logits `Tensor` objects (typically, these have shape `[batch_size, label_dimension]`).",This is the size of the last dimension of the labels and logits D_STRUCTURE objects typically these have shape BSTR,numeric,,,,,"[0,inf)",
297,tf.nn.softmax_cross_entropy_with_logits,labels,"Each vector along the class dimension should hold a valid probability distribution e.g. for the case in which labels are of shape`[batch_size, num_classes]`, each row of `labels[i]` must be a valid probability distribution.",Each vector along the class dimension should hold a valid probability distribution e g,,,,,,,
298,tf.nn.softmax_cross_entropy_with_logits,labels,"Each vector along the class dimension should hold a valid probability distribution e.g. for the case in which labels are of shape`[batch_size, num_classes]`, each row of `labels[i]` must be a valid probability distribution.",for the case in which labels are of shape BSTR each row of labels BSTR must be a valid probability distribution,,,,,,,
299,tf.random.poisson,lam,A Tensor or Python value or N-D array of type `dtype`.`lam` provides the rate parameter(s) describing the poisson distribution(s) to sample.,A D_STRUCTURE or Python value or N D D_STRUCTURE of type PARAM lam provides the rate parameter BSTR to sample,PARAM,D_STRUCTURE,,,,,
300,tf.sequence_mask,lengths,"integer tensor, all its values <= maxlen.",D_TYPE D_STRUCTURE all its values REXPR,D_TYPE,D_STRUCTURE,,,,REXPR,
301,tf.signal.mfccs_from_log_mel_spectrograms,log_mel_spectrograms,"A `[..., num_mel_bins]` `float32`/`float64` `Tensor`of log-magnitude mel-scale spectrograms.",A BSTR D_TYPE D_STRUCTUREof log magnitude mel scale spectrograms,D_TYPE,D_STRUCTURE,,BSTR,,,
302,tf.estimator.experimental.call_logit_fn,logit_fn,A logit_fn as defined above.,A logit_fn as defined above,,,,,,,
303,tf.keras.preprocessing.text.text_to_word_sequence,lower,boolean. Whether to convert the input to lowercase.,D_TYPE,D_TYPE,,,,,,
304,tf.keras.preprocessing.text.text_to_word_sequence,lower,boolean. Whether to convert the input to lowercase.,Whether to convert the input to lowercase,bool,,,,0,,
305,tf.ragged.boolean_mask,mask,A potentially ragged boolean tensor.  `mask`'s shape must be a prefix of `data`'s shape.  `rank(mask)` must be known statically.,A potentially ragged D_TYPE D_STRUCTURE,D_TYPE,D_STRUCTURE,,,,,
306,tf.ragged.boolean_mask,mask,A potentially ragged boolean tensor.  `mask`'s shape must be a prefix of `data`'s shape.  `rank(mask)` must be known statically.,rank BSTR must be known statically,,,,,,,
307,tf.ragged.boolean_mask,mask,A potentially ragged boolean tensor.  `mask`'s shape must be a prefix of `data`'s shape.  `rank(mask)` must be known statically.,masks shape must be a prefix of PARAMs shape,,,,,,,
308,tf.linalg.logdet,matrix,"A `Tensor`. Must be `float16`, `float32`, `float64`, `complex64`, or `complex128` with shape `[..., M, M]`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
309,tf.linalg.logdet,matrix,"A `Tensor`. Must be `float16`, `float32`, `float64`, `complex64`, or `complex128` with shape `[..., M, M]`.",Must be D_TYPE with shape BSTR,D_TYPE,,,BSTR,,,
310,tf.quantization.fake_quant_with_min_max_args_gradient,max,An optional `float`. Defaults to `6`.,An optional D_TYPE,D_TYPE,,,,0,,
311,tf.quantization.fake_quant_with_min_max_args_gradient,max,An optional `float`. Defaults to `6`.,Defaults to CONSTANT_NUM,,,,,,,
312,tf.nn.embedding_lookup_sparse,max_norm,"If not `None`, each embedding is clipped if its l2-norm is larger than this value, before combining.",If not QSTR each embedding is clipped if its l2 norm is larger than this value before combining,,,,,,,
313,tf.nn.safe_embedding_lookup_sparse,max_norm,"If not `None`, all embeddings are l2-normalized to max_norm before combining.",If not QSTR all embeddings are l2 normalized to max_norm before combining,,,,,,,
314,tf.estimator.experimental.stop_if_no_decrease_hook,max_steps_without_decrease,"`int`, maximum number of training steps with no decrease in the given metric.",D_TYPE maximum number of training steps with no decrease in the given metric,D_TYPE,,,,0,"[0,inf)",
315,tf.image.psnr,max_val,"The dynamic range of the images (i.e., the difference between the maximum the and minimum allowed values).",The dynamic range of the images BSTR,,,,,,,
316,tf.keras.backend.clip,max_value,"Python float, integer, or tensor.",Python D_TYPE or D_STRUCTURE,D_TYPE,D_STRUCTURE,,,,,
317,tf.keras.backend.relu,max_value,float. Saturation threshold.,D_TYPE,D_TYPE,,,,,,
318,tf.keras.backend.relu,max_value,float. Saturation threshold.,Saturation PARAM,,,,,,,
